timestamp,elapsed,angx,angy,heading,x,y,z,rcR,rcP,rcY,rcT,rPID,pPID
1433520085.26,0.016,-2.1,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520085.27,0.016,-2.1,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520085.29,0.016,-2.1,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520085.30,0.016,-2.1,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520085.30,0.016,-2.1,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520085.32,0.016,-2.1,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520085.34,0.016,-2.1,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520085.35,0.016,-2.1,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520085.37,0.016,-2.1,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520085.38,0.016,-2.1,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520085.40,0.016,-2.1,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520085.42,0.016,-2.1,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520085.42,0.016,-2.1,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520085.43,0.016,-2.1,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520085.45,0.016,-2.1,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520085.46,0.016,-2.1,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520085.48,0.016,-2.1,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520085.50,0.016,-2.1,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520085.51,0.016,-2.1,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520085.53,0.016,-2.1,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520085.54,0.016,-2.1,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520085.56,0.016,-2.1,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520085.56,0.016,-2.1,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520085.58,0.016,-2.1,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520085.59,0.016,-2.0,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520085.61,0.016,-1.7,-0.6,-6.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520085.62,0.016,-2.0,-0.6,-6.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520085.64,0.016,-2.0,-0.6,-5.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520085.65,0.016,-2.1,-0.5,-5.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520085.67,0.016,-2.1,-0.5,-5.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520085.69,0.016,-2.0,-0.5,-4.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520085.70,0.016,-2.0,-0.5,-5.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520085.70,0.016,-2.0,-0.5,-5.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520085.72,0.016,-2.0,-0.5,-5.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520085.73,0.016,-1.8,-0.5,-5.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520085.75,0.016,-1.9,-0.5,-5.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520085.77,0.016,-1.9,-0.5,-5.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520085.78,0.016,-1.8,-0.5,-5.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520085.80,0.016,-1.9,-0.5,-5.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520085.81,0.016,-1.9,-0.5,-5.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520085.83,0.016,-1.9,-0.5,-5.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520085.85,0.016,-1.9,-0.5,-5.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520085.86,0.016,-2.0,-0.5,-5.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520085.86,0.016,-2.0,-0.5,-5.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520085.88,0.016,-2.1,-0.5,-5.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520085.89,0.016,-2.4,-0.5,-5.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520085.91,0.016,-2.5,-0.5,-5.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520085.93,0.016,-2.5,-0.5,-5.0,0,0,0,1500,1500,1500,1000,0.0,0.0
